radius depth density Vs Qmu
3.0461e+06 3.3249e+06 1.0540e+04 0.0000e+00 0.0000e+00
3.0589e+06 3.3121e+06 1.0523e+04 0.0000e+00 0.0000e+00
3.0716e+06 3.2994e+06 1.0506e+04 0.0000e+00 0.0000e+00
3.0844e+06 3.2866e+06 1.0489e+04 0.0000e+00 0.0000e+00
3.0972e+06 3.2738e+06 1.0471e+04 0.0000e+00 0.0000e+00
3.1099e+06 3.2611e+06 1.0454e+04 0.0000e+00 0.0000e+00
3.1227e+06 3.2483e+06 1.0436e+04 0.0000e+00 0.0000e+00
3.1354e+06 3.2356e+06 1.0418e+04 0.0000e+00 0.0000e+00
3.1482e+06 3.2228e+06 1.0401e+04 0.0000e+00 0.0000e+00
3.1610e+06 3.2100e+06 1.0383e+04 0.0000e+00 0.0000e+00
3.1737e+06 3.1973e+06 1.0365e+04 0.0000e+00 0.0000e+00
3.1865e+06 3.1845e+06 1.0347e+04 0.0000e+00 0.0000e+00
3.1992e+06 3.1718e+06 1.0328e+04 0.0000e+00 0.0000e+00
3.2120e+06 3.1590e+06 1.0310e+04 0.0000e+00 0.0000e+00
3.2248e+06 3.1462e+06 1.0292e+04 0.0000e+00 0.0000e+00
3.2375e+06 3.1335e+06 1.0273e+04 0.0000e+00 0.0000e+00
3.2503e+06 3.1207e+06 1.0255e+04 0.0000e+00 0.0000e+00
3.2630e+06 3.1080e+06 1.0236e+04 0.0000e+00 0.0000e+00
3.2758e+06 3.0952e+06 1.0217e+04 0.0000e+00 0.0000e+00
3.2886e+06 3.0824e+06 1.0198e+04 0.0000e+00 0.0000e+00
3.3013e+06 3.0697e+06 1.0179e+04 0.0000e+00 0.0000e+00
3.3141e+06 3.0569e+06 1.0160e+04 0.0000e+00 0.0000e+00
3.3268e+06 3.0442e+06 1.0141e+04 0.0000e+00 0.0000e+00
3.3396e+06 3.0314e+06 1.0122e+04 0.0000e+00 0.0000e+00
3.3524e+06 3.0186e+06 1.0103e+04 0.0000e+00 0.0000e+00
